,guardian,droidagent,autodroid,visidroid,visidroid_no_mem,visidroid_no_vision
total_tasks,150.0,150.0,150.0,150.0,150.0,150.0
total_exact_match_tasks,0.0,21.0,106.0,118.0,79.0,82.0
exact_match_percentage,0.0,14.0,70.7,78.7,52.7,54.7
average_prefix_match,10.6,28.8,80.6,82.6,67.3,68.0
total_correct_actions,388.0,435.0,592.0,613.0,478.0,519.0
total_actions,1863.0,1269.0,692.0,794.0,721.0,814.0
macro_average_precision,21.2,39.8,87.2,86.3,73.0,74.1
micro_average_precision,20.8,34.3,85.5,77.2,66.3,63.8
task_achieved,54.0,105.0,126.0,131.0,92.0,104.0
total_tasks_completed,2.0,36.0,113.0,127.0,89.0,93.0
task_completion_percentage,1.3,24.0,75.3,84.7,59.3,62.0
task_not_done_but_end,2.0,4.0,10.0,2.0,29.0,18.0
